acq_datetime;acq_date;latitude;longitude;frp;frp_band;provinsi;provinsi_id;sensor;satellite;confidence;daynight
2026-08-22 05:53:00;2026-08-22;-4,0706;114,7945;5,63;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8591;115,2005;5,65;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,0711;114,7907;5,63;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,118;114,7394;8,53;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,5206;110,1109;4,47;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,6712;117,2832;4,44;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,4182;110,1053;11,85;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,0397;110,2305;3,22;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9956;117,1039;8,42;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,0102;110,3976;18,44;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9923;117,1034;8,42;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0046;117,1125;3,64;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,009;110,3761;3,47;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,0379;110,1822;3,86;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;low;D
